529.389928178757,58532
529.395057132217,25521
529.40018600343,28137
529.405314792392,21043
529.410443499099,21310
529.415572123545,21015
529.420700665725,23014
529.425829125636,17334
529.430957503271,27176
529.436085798626,7001
529.441214011697,56815
529.446342142477,44945
529.451470190964,7719
529.456598157151,5150
529.461726041034,-45179
529.466853842608,-25696
529.471981561868,-132086
529.47710919881,-131702
529.482236753428,-43917
529.487364225718,-42257
529.492491615674,-39656
529.497618923293,-10638
529.502746148569,17250
529.507873291498,9115
529.513000352074,-7267
529.518127330293,-25923
529.523254226149,9664
529.528381039639,1419
529.533507770757,-91701
529.538634419499,-78886
529.543760985859,-131479
529.548887469832,-121427
529.554013871415,-89634
529.559140190602,-30215
529.564266427388,-38445
529.569392581769,-49384
529.574518653739,-44745
529.579644643294,-33131
529.584770550429,23353
529.589896375139,56850
529.595022117419,55692
529.600147777265,59051
529.605273354671,93654
529.610398849633,52249
529.615524262146,47778
529.620649592206,-41342
529.625774839806,-15521
529.630900004943,28961
529.636025087612,-105964
529.641150087808,-82622
529.646275005526,-155517
529.651399840761,-93779
529.656524593508,-30103
529.661649263763,-27984
529.666773851521,14178
529.671898356776,65424
529.677022779525,107345
529.682147119762,-4383
529.687271377482,-3793
529.692395552681,32115
529.697519645353,25046
529.702643655495,-70692
529.707767583101,-42975
529.712891428166,-2570
529.718015190685,17537
529.723138870655,36829
529.728262468069,-20483
529.733385982923,-67404
529.738509415212,6862
529.743632764932,-89345
529.748756032077,-139507
529.753879216643,-116397
529.759002318625,24574
529.764125338018,161686
529.769248274817,89473
529.774371129018,-90254
529.779493900615,-177758
529.784616589605,-73281
529.789739195981,-45023
529.794861719739,-121250
529.799984160875,-189814
529.805106519383,-13200
529.810228795259,-7685
529.815350988498,-88602
529.820473099095,-9287
529.825595127045,5169
529.830717072343,-18408
529.835838934986,-6739
529.840960714967,17935
529.846082412282,26133
529.851204026926,50539
529.856325558894,41242
529.861447008182,22331
529.866568374785,35471
529.871689658698,36965
529.876810859916,58327
529.881931978434,73799
529.887053014247,99672
529.892173967351,127222
529.897294837741,112339
